usuario,tweet
['lopezdoriga'],"Joaquín López-Dóriga
@lopezdoriga
·
10 jun.
El que no se iba a meter en el proceso interno de Morena dijo que cualquiera de las 'corcholatas' es garantía de continuidad de la 4T.

https://bit.ly/43s8bJY
149
83
300
36,4 mil"
['Pajaropolitico'],"Animal Político
@Pajaropolitico
·
10 jun.
#OJO | Páginas en Facebook que promocionan a las ‘corcholatas’ de Morena de cara a las elecciones de 2024 acumulan desde 2022 un gasto de al menos 5 millones de pesos en anuncios para amplificar su contenido.
animalpolitico.com
Elección 2024: Gastan 5 mdp en promoción de 'corcholatas'
Páginas en Facebook promocionan a las ‘corcholatas’ de Morena de cara a las elecciones de 2024. Acumulan un gasto de 5 millones de pesos.
7
186
266
19,7 mil"
['beltrandelrio'],"Pascal
@beltrandelrio
·
42min
Está previsto que entre las reglas que al rato “definirá” el Consejo Nacional de Morena (entrecomillo el verbo porque la definición ya la hizo YSQ), estará que el 2o y 3er lugar de la encuesta entre corcholatas serán los coordinadores de la bancada de senadores y diputados (1/3)
16
106
342
25,7 mil
Mostrar este hilo"
"['Pajaropolitico', 'ElSabuesoAP']","Animal Político
@Pajaropolitico
·
9 jun.
#HoyEnAnimal | ¡Grr! La naricita de 
@ElSabuesoAP
 descubrió que páginas en Facebook que promocionan a las ‘corcholatas’ de Morena acumulan desde 2022 un gasto de al menos 5 millones de pesos en anuncios para amplificar su contenido.
animalpolitico.com
Elección 2024: Gastan 5 mdp en promoción de 'corcholatas'
Páginas en Facebook promocionan a las ‘corcholatas’ de Morena de cara a las elecciones de 2024. Acumulan un gasto de 5 millones de pesos.
5
104
179
13,3 mil"
['StepLavalle'],"Stephany Lavalle
@StepLavalle
·
6 jun.
AMLO CENÓ HOY CON LAS CORCHOLATAS DE MORENA
#amlo #AMLOElMejorPresidenteDelMundo #AMLOvers #obrador #Claudia #MarceloEbrard #adanaugusto #noroña  #NoroñaEsPueblo #ricardomonreal
21
67
325
8.648"
"['catrina_nortena', 'm_ebrard', 'Claudiashein']","La Catrina Norteña
@catrina_nortena
·
5 jun.
#LaMalOlienteEresTúDresser 
 ULTIMÁTUM para 
@m_ebrard
AMLO se reúne para cenar con gobernadores de Morena y las Corcholatas. Esto debido a que Ebrard No quiere respetar las reglas ya establecidas para elegir a la candidata/o Presidencial de la 4T.

Está 
@Claudiashein
, Marcelo,… Mostrar más
247
881
2.461
210,5 mil"
['Vianeicita'],"Vianey
@Vianeicita
·
35min
No entiendo como el gobernador de un estado como Durazo también sea el pdte del consejo de Morena. Digo, en las últimas semanas ha estado más ocupado por la grilla de las corcholatas q por su estado, para mi los gobernantes deberían dedicarse exclusivamente al pueblo q los eligió
6
10
22
444"
['DDConfianza'],"DDC+
@DDConfianza
·
9 jun.
 #ULTIMAHORA  Se filtra video de Mayito Delgado revelando el método de selección de candidat@ presidencial en #Morena ¡Y las corcholatas NO LO SOPORTAN! Bueno, una sí…

Míralo y compártelo .
8
12
796"
['bereaguilarv'],"Bere Aguilar
@bereaguilarv
·
2h
Llegó el día de las definiciones para las cuatro corcholatas presidenciales en el Consejo Nacional de Morena y, si bien se abordarán varios temas relevantes como las renuncias a sus actuales cargos, falta ver si hoy mismo se resolverá un asunto crucial: cómo será la encuesta para… Mostrar más
6
16
69
2.031"
['LauraBruges'],"Laura Brugés
@LauraBruges
·
7 jun.
 El movimiento de las 4 corcholatas de #Morena y anexos va a generar una cascada de movimientos y enroques importantes, tanto en el gabinete de #AMLO como en las gubernaturas y en el Poder Legislativo  

  Vamo a ve…
12
75
297
25,9 mil
Mostrar este hilo"
